activityId;workerId;date;companyName;establishmentName;numberOfRuptures;numberProductsOutStorage;numberProductsOutShelf;rateRuptures;rateOutStorage;mixSize;duration;numberOfPictures;averageRating;marker
ObjectId(5d5ecddf276f7a00024533d3);5d2f7b7370eaf40002ed41f9;24/08/2019;COCA-COLA FEMSA;Condor - Curitiba - Cristo Rei;0;0;114;0.0;0.0;314;156.0;86;1;1
ObjectId(5d5ece7b276f7a0002453871);5cc764c5e3cc6f00387529f3;27/08/2019;COCA-COLA FEMSA;Condor - Fazenda Rio Grande;0;11;0;0.0;0.04;314;126.0;54;2;1
ObjectId(5d5ed1900658e100028f9099);5d2d1accd2c78300022eaa18;25/08/2019;COCA-COLA FEMSA;Condor - Curitiba - Boa Vista;0;0;42;0.0;0.0;314;258.0;94;1;1
ObjectId(5d5fff665ae4c900021e1645);5d42f6f43df9e40002a7a004;23/08/2019;COCA-COLA FEMSA;Condor - Curitiba - Wenceslau Braz;0;0;0;0.0;0.0;314;;140;1;1
ObjectId(5d66778112ca3a00026e332c);5ce92798b9a0660034752df0;31/08/2019;COCA-COLA FEMSA;Condor - Curitiba - Nilo Peçanha;51;90;62;0.16;0.29;314;107.0;56;2;1
ObjectId(5d66779687692f000297af5d);5d1fffcea074a90002146a5e;01/09/2019;COCA-COLA FEMSA;Condor - Curitiba - Nilo Peçanha;41;60;81;0.13;0.19;314;252.0;135;1;1
ObjectId(5d667d20b4fd780002f78dbf);5d1574b198473f0002f113bc;01/09/2019;COCA-COLA FEMSA;Condor - Curitiba - Pinheirinho;95;141;140;0.3;0.45;314;65.0;56;1;1
ObjectId(5d667d3ab4fd780002f78dca);5cfa0e55364f9a0002ed6573;01/09/2019;COCA-COLA FEMSA;Condor - Curitiba - Água Verde;92;248;97;0.29;0.79;314;299.0;78;2;1
ObjectId(5d667ec1b4fd780002f79462);5d1574b198473f0002f113bc;01/09/2019;COCA-COLA FEMSA;Condor - Araucária - BR;87;176;98;0.28;0.56;314;53.0;54;1;1
ObjectId(5d67ceca6b94ad0002784f4b);5ce92798b9a0660034752df0;01/09/2019;COCA-COLA FEMSA;Condor - Curitiba - Cristo Rei;110;154;130;0.35;0.49;314;51.0;52;1;1
ObjectId(5d67cef3b3bbba00020809bc);5ce92798b9a0660034752df0;01/09/2019;COCA-COLA FEMSA;Condor - Curitiba - Derosso;74;116;101;0.24;0.37;314;57.0;56;1;1
ObjectId(5d6d5d10913eac00024b89ac);5cc764c5e3cc6f00387529f3;03/09/2019;COCA-COLA FEMSA;Max atacadista - Fazenda Rio Grande - Santa Terezinha;4;33;4;0.01;0.11;314;78.0;60;2;1
