activityId;companyName;establishmentName;workerId;date;numberOfRuptures;numberProductsOutStorage;numberProductsOutShelf;rateRuptures;rateOutStorage;mixSize;duration;numberOfPictures;averageRating;marker
ObjectId(5dd3fdb79eb9a10043a306d4);COCA-COLA FEMSA;Condor - Fazenda Rio Grande;5dac8debabdc4d00022b52fb;21/11/2019;0;0;0;0.0;0.0;314;200.0;24;1;1
ObjectId(5dd3fdd89eb9a10043a306f2);COCA-COLA FEMSA;Condor - Fazenda Rio Grande;5dac8debabdc4d00022b52fb;21/11/2019;0;0;0;0.0;0.0;110;75.0;10;1;1
ObjectId(5dd3fde39eb9a10043a30701);COCA-COLA FEMSA;Condor -  Campo Largo - Loteamento São José;5d0983ec6045c10002f8d5f6;21/11/2019;0;0;0;0.0;0.0;110;282.0;12;1;1
ObjectId(5dd3fde69eb9a10043a30706);COCA-COLA FEMSA;Condor -  Campo Largo - Loteamento São José;5d0983ec6045c10002f8d5f6;22/11/2019;0;0;0;0.0;0.0;110;157.0;10;2;1
ObjectId(5dd3fdef9eb9a10043a3070b);COCA-COLA FEMSA;Condor - Almirante Tamandaré - Alto Pinheiros;5cee8f4cb9a066003480f049;20/11/2019;0;0;0;0.0;0.0;110;27.0;10;2;1
ObjectId(5dd3fe2e9eb9a10043a30756);COCA-COLA FEMSA;Condor - Fazenda Rio Grande;5dac8debabdc4d00022b52fb;20/11/2019;0;0;0;0.0;0.0;115;444.0;10;1;1
ObjectId(5dd3fe309eb9a10043a3075b);COCA-COLA FEMSA;Condor - Fazenda Rio Grande;5dac8debabdc4d00022b52fb;21/11/2019;0;0;0;0.0;0.0;115;173.0;14;1;1
ObjectId(5dd3fe509eb9a10043a30788);COCA-COLA FEMSA;Condor -  Campo Largo - Loteamento São José;5d0983ec6045c10002f8d5f6;21/11/2019;0;0;0;0.0;0.0;28;285.0;24;2;1
ObjectId(5dd3fe539eb9a10043a3078d);COCA-COLA FEMSA;Condor -  Campo Largo - Loteamento São José;5da71b107fb7170002ad6e33;22/11/2019;0;0;0;0.0;0.0;28;60.0;16;1;1
ObjectId(5dd4bd6f5c11a00002447d04);MOINHO DO NORDESTE;Condor - Curitiba - Ahú;5bda49454378d99c28e4e1b6;27/11/2019;2;2;0;0.66666666666666663;0.66666666666666663;3;12.0;4;1;1
ObjectId(5dd4bd765c11a00002447d36);MOINHO DO NORDESTE;Condor - Curitiba - João Bettega;5db75e9d97eeab0002d66065;27/11/2019;0;0;0;0.0;0.0;3;164.0;6;1;1
ObjectId(5dd604d4a61f4d000269da7c);RBR;Walmart - Curitiba - Juvevê;5d1a41a00c2bf400022ff486;28/11/2019;0;14;0;0.0;0.93333333333333335;15;9.0;2;1;1
