activityId,workerId,date,companyName,establishmentName,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateOfRuptures,rateOutStorage,mixSize,duration,numberOfPictures,averageRating
5e3c093b3ea5d70002f9a9de,,2020-02-07,MOINHO DO NORDESTE,Condor -  Apucarana,0,0,0,0.0,0.0,3,,0,
5e3c093c3ea5d70002f9a9e3,,2020-02-08,MOINHO DO NORDESTE,Condor -  Apucarana,0,0,0,0.0,0.0,3,,0,
5e3cd9fdbce2120002511fa9,,2020-02-14,MOINHO DO NORDESTE,Condor -  Apucarana,0,0,0,0.0,0.0,3,,0,
5e3e2b959a84ea23d25ba83a,,2020-02-15,MOINHO DO NORDESTE,Condor -  Apucarana,0,0,0,0.0,0.0,3,,0,
5e40ce5a9dea2e1f153efed5,,2020-02-17,MOINHO DO NORDESTE,Condor -  Apucarana,0,0,0,0.0,0.0,3,,0,
5e437187d6f0803fd8b5c3cf,,2020-02-19,MOINHO DO NORDESTE,Condor -  Apucarana,0,0,0,0.0,0.0,3,,0,
5e3c12d193c7620002fb34f5,,2020-02-10,MOINHO DO NORDESTE,Condor - Curitiba - Campo Comprido,0,0,0,0.0,0.0,3,,0,
5e40ce5a8061cff568258c12,5de7e593d0943c000243b8d8,2020-02-17,MOINHO DO NORDESTE,Condor - Curitiba - Campo Comprido,0,0,0,0.0,0.0,3,,0,
5e3c140446b8710002293bd0,5de71d91c46ae70002e5e4eb,2020-02-13,MOINHO DO NORDESTE,Condor - São José dos Pinhais - Rua Joinville,0,0,0,0.0,0.0,3,,0,
5e40ce5b9dea2e9b453efee5,5de71d91c46ae70002e5e4eb,2020-02-17,MOINHO DO NORDESTE,Condor - São José dos Pinhais - Rua Joinville,0,0,0,0.0,0.0,3,,0,
5e3c140dde6adb0002d92a11,5dd97ac0a653040002ed1704,2020-02-13,MOINHO DO NORDESTE,Condor - Curitiba - Boa Vista,0,0,0,0.0,0.0,3,,0,
5e40ce739dea2e48d23eff75,5e0147bd87e3f10002390449,2020-02-17,MOINHO DO NORDESTE,Condor - Curitiba - Boa Vista,0,0,0,0.0,0.0,3,,0,
5e3c140a93c7620002fb3526,5d94b47d7574da0002e493d5,2020-02-13,MOINHO DO NORDESTE,Condor - Curitiba - Santa Cândida,0,0,0,0.0,0.0,3,,0,
5e40ce6a772c3551cdd9e9df,5dd97ac0a653040002ed1704,2020-02-17,MOINHO DO NORDESTE,Condor - Curitiba - Santa Cândida,0,0,0,0.0,0.0,3,,0,
5e3c140bde6adb0002d92a02,,2020-02-10,MOINHO DO NORDESTE,Condor - Curitiba - João Bettega,0,0,0,0.0,0.0,3,,0,
5e3c140cde6adb0002d92a07,5dba2ec821b78d000233c88e,2020-02-13,MOINHO DO NORDESTE,Condor - Curitiba - João Bettega,0,0,0,0.0,0.0,3,,0,
5e40ce709dea2e55f53eff45,5de7e593d0943c000243b8d8,2020-02-17,MOINHO DO NORDESTE,Condor - Curitiba - João Bettega,0,0,0,0.0,0.0,3,,0,
